st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
10088,1,2020,2,20,5,2,25,15,0,1,1,1,1,3,1,4,1,0,0,252,33.78340556,-85.919675,8,0,0,1,1,1,0,2,2,0,,,,,,
10089,1,2020,2,20,5,15,20,13,0,1,2,2,2,3,1,4,1,0,0,485,31.52631944,-86.71785556,12,6,0,2,3,1,0,1,2,0,15,32,15,39,16,12
10090,1,2020,2,21,6,14,38,9,0,2,3,3,4,2,1,3,1,1,0,974,34.17336389,-86.53299167,12,8,0,2,2,1,0,1,1,0,,,15,1,,
10091,1,2020,2,22,7,15,20,43,830,1,2,2,3,6,2,5,4,0,0,0,34.13319167,-86.830975,12,6,0,2,2,1,0,1,1,0,15,20,15,26,,
10092,1,2020,2,22,7,16,4,91,0,1,2,2,3,2,1,3,1,1,0,496,32.46735278,-87.59396667,12,6,0,2,2,1,0,1,1,0,16,9,16,29,16,48
10093,1,2020,2,23,1,11,12,73,3080,1,1,1,1,4,2,5,4,0,0,0,33.59998889,-86.56984722,42,0,0,1,1,4,0,1,10,0,11,12,11,15,,
10094,1,2020,2,23,1,12,5,73,0,1,1,1,2,4,1,5,2,0,0,0,33.54817222,-87.12646667,42,0,0,1,1,4,0,1,10,0,12,23,12,52,13,31
10095,1,2020,2,24,2,16,45,39,0,1,2,2,2,3,1,4,1,0,0,222,31.25979444,-86.47035278,12,2,0,1,1,1,0,1,2,0,16,56,16,57,,
10096,1,2020,2,24,2,16,32,97,2100,1,3,3,3,2,2,3,1,1,0,206,30.71938333,-88.13892222,12,6,0,1,1,1,0,1,2,0,16,35,16,41,17,0
10097,1,2020,2,24,2,11,40,49,1825,2,2,2,3,3,1,4,1,0,0,757,34.40423611,-85.96555833,12,6,0,2,2,1,0,1,2,0,,,,,,
10098,1,2020,2,26,4,12,25,19,0,1,2,2,2,3,1,3,1,1,0,1628,33.97965833,-85.52133889,12,2,0,1,1,1,0,1,10,0,12,25,12,34,,
10099,1,2020,2,27,5,4,30,83,0,1,2,2,2,3,1,3,1,1,0,3373,34.94947222,-86.78562778,12,2,0,1,1,1,0,1,1,0,4,21,4,41,,
10100,1,2020,2,28,6,16,45,89,1730,1,1,1,1,3,2,3,1,1,0,3220,34.76422222,-86.64555,32,0,0,1,1,4,0,1,1,0,16,45,16,53,,
10101,1,2020,3,1,1,3,0,9,0,1,1,1,1,4,1,5,2,0,0,0,34.05871389,-86.46934167,34,0,0,1,1,4,0,6,1,0,,,6,30,,
10102,1,2020,3,1,1,0,25,97,0,1,1,1,1,1,2,1,1,1,0,106,30.53750556,-88.23891389,1,0,0,1,1,4,0,2,1,0,0,28,0,42,,
10103,1,2020,2,9,1,9,18,101,2130,1,1,1,1,1,2,1,1,1,0,1,32.36784444,-86.29968611,8,0,0,1,1,1,0,1,99,0,9,18,9,43,,
10104,1,2020,3,27,6,19,45,97,2100,1,1,1,3,1,2,1,1,1,0,35,30.68059167,-88.127175,8,0,0,1,1,1,0,3,1,0,,,20,2,,
10105,1,2020,3,23,2,21,10,63,0,1,2,2,2,1,1,1,1,1,0,495,32.96093056,-87.82379722,12,1,0,1,1,1,0,2,1,0,21,10,21,30,,
10106,1,2020,3,15,1,6,0,101,2130,1,5,5,5,1,2,1,1,1,0,135,32.36591111,-86.09650833,12,2,0,1,1,1,0,2,1,0,6,0,6,25,,
10107,1,2020,3,14,7,17,15,21,0,1,1,1,2,1,1,1,1,1,0,1989,32.71838889,-86.53108056,34,0,0,1,1,4,0,1,1,0,17,15,17,28,,
10108,1,2020,3,12,5,19,30,97,2100,1,1,1,2,1,2,1,1,1,0,76,30.69526389,-88.12479167,25,0,0,1,1,4,0,3,1,0,19,45,19,49,19,57
10109,1,2020,3,11,4,23,30,21,700,2,2,2,4,1,2,1,1,1,0,2105,32.8692,-86.61034167,12,2,0,1,1,1,0,2,1,0,23,30,23,43,,
10110,1,2020,3,9,2,14,30,97,2550,1,2,2,2,1,2,1,1,1,0,114,30.780875,-88.09827778,12,1,0,1,1,1,0,1,1,0,14,30,14,40,,
10111,1,2020,3,9,2,1,3,73,0,1,2,2,3,1,2,1,1,1,0,1191,33.49411944,-86.91571667,12,1,0,1,1,1,0,3,1,0,1,3,1,23,,
10112,1,2020,3,7,7,2,31,73,0,1,2,2,1,1,1,1,1,1,0,2812,33.8034,-86.82490556,8,0,0,1,1,1,0,3,1,0,2,38,2,42,,
10113,1,2020,2,3,2,18,0,79,0,1,2,2,3,3,1,3,1,1,0,488,34.58400278,-87.415975,12,1,0,1,1,1,0,2,1,0,18,0,18,10,,
10114,1,2020,2,16,1,12,10,73,350,1,2,2,2,6,2,3,4,1,0,0,33.46,-86.87811667,12,8,0,1,1,1,0,1,10,0,12,4,12,13,12,34
10115,1,2020,2,18,3,20,20,73,350,1,1,1,1,3,2,3,1,1,0,0,33.53155556,-86.76963056,8,0,0,1,1,1,0,3,2,0,20,20,20,25,,
10116,1,2020,2,20,5,15,39,73,0,1,2,2,2,3,1,3,1,1,0,90,33.79708056,-86.68642222,12,2,0,1,1,1,0,1,10,0,,,16,11,,
10117,1,2020,2,22,7,14,25,25,1760,1,2,2,2,4,1,5,2,0,0,0,31.57126944,-87.85046667,12,6,0,1,1,1,0,1,1,0,,,,,,
10118,1,2020,2,24,2,22,57,73,0,1,2,2,2,4,2,4,2,0,0,0,33.61959444,-86.7891,12,2,0,1,1,1,0,3,10,0,23,3,23,3,,
10119,1,2020,2,25,3,14,48,41,0,1,1,1,1,4,1,5,2,0,0,0,31.83043056,-86.35746111,34,0,0,1,1,4,0,1,10,0,14,54,15,8,,
10120,1,2020,2,28,6,22,30,89,1730,1,1,1,1,6,2,3,4,1,0,0,34.72001111,-86.59115556,8,0,0,3,3,1,0,3,1,0,22,30,22,33,,
10121,1,2020,2,29,7,6,20,71,0,1,2,2,3,3,1,4,1,0,0,315,34.84113056,-85.75276944,12,2,0,1,1,1,0,2,10,0,6,54,7,0,7,54
10122,1,2020,3,1,1,1,42,101,2130,1,2,2,4,6,2,7,4,0,0,0,32.34398056,-86.22313333,12,99,0,2,2,1,0,3,1,0,1,49,1,58,2,28
