st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10163,1,1,1,4,11,20,NA,0,7,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,42,0,0,NA,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10168,2,1,3,4,11,3,20,0,7,FORD,1997,MUSTANG,Coupe,11,11,1,NA,NA,NA,2,3,14,0,11,11,NA,NA,NA,4.5,4.5,0,1520,1341,1821,4600
10168,2,2,3,4,13,20,20,0,7,FORD,1997,MUSTANG,Coupe,11,11,1,NA,NA,NA,2,3,14,0,11,11,NA,NA,NA,4.5,4.5,0,1520,1341,1821,4600
10174,1,1,1,0,11,3,20,0,0,CADILLAC,2003,DEVILLE,Sedan/Saloon,11,11,0,1,0,20,1,2,8,0,20,20,NA,NA,NA,3,1,0,1808,1422,1895,5258
10177,1,1,1,4,11,20,20,0,7,FORD,2005,MUSTANG,Coupe,11,11,1,2,1,18,1,2,34,0,19,19,NA,NA,NA,5,5,0,1580,1410,1877,4775
10177,1,2,2,0,13,20,20,0,0,FORD,2005,MUSTANG,Coupe,11,11,0,2,1,18,1,2,34,0,19,19,NA,NA,NA,5,5,0,1580,1410,1877,4775
10179,2,1,1,3,11,3,1,0,0,FORD,2012,TAURUS,Sedan/Saloon,11,11,0,1,0,11,1,2,12,6,20,20,3,AWD,4,4,5,0.113,1871,1542,1935,5154
10202,1,1,1,4,11,20,NA,0,7,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,32,0,18,18,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10222,1,1,1,4,11,20,20,0,0,PONTIAC,2002,GRAND PRIX,Sedan/Saloon,11,11,1,1,1,21,1,2,12,6,10,10,NA,NA,NA,4,4,0,1565,1410,1847,4991
10236,2,1,1,3,11,3,NA,0,0,HYUNDAI,2008,SONATA,Sedan/Saloon,11,11,0,2,1,15,1,3,12,6,21,22,1,FWD,NA,5,5,0,1515,1476,1834,4800
10236,2,2,2,4,13,20,NA,0,0,HYUNDAI,2008,SONATA,Sedan/Saloon,11,11,1,2,1,15,1,3,12,6,21,22,1,FWD,NA,5,5,0,1515,1476,1834,4800
10245,1,1,1,4,11,3,NA,0,0,HONDA,2002,ACCORD,Coupe,11,11,1,1,1,21,1,4,12,1,21,21,NA,NA,NA,4.5,5,0,1395,1410,1786,4816
10254,1,1,1,2,11,3,NA,0,0,DODGE,2013,DART,Sedan/Saloon,11,11,0,2,1,10,1,2,42,0,1,1,1,FWD,5,4,5,0.107,1443,1466,1829,4671
10254,1,2,2,4,13,20,NA,1,7,DODGE,2013,DART,Sedan/Saloon,11,11,1,2,1,10,1,2,42,0,1,1,1,FWD,5,4,5,0.107,1443,1466,1829,4671
10257,2,1,1,4,11,20,20,0,7,MERCURY,1995,GRAND MARQUIS,Sedan/Saloon,11,11,1,1,1,28,1,4,12,6,7,7,NA,NA,NA,5,4,0,1785,1459,1978,5390
10260,1,1,1,4,11,20,20,0,7,FORD,2005,CROWN VICTORIA,Sedan/Saloon,11,11,1,1,1,18,1,3,12,1,8,9,NA,NA,NA,5,5,0,1837,1445,1963,5385
10262,1,1,1,4,11,20,1,0,0,CHEVROLET,2003,CAVALIER,Sedan/Saloon,11,11,1,1,1,20,1,1,42,0,12,13,NA,NA,NA,4,4,0,1202,1390,1725,4595
10267,2,1,1,0,11,3,20,0,0,DODGE,2014,AVENGER,Sedan/Saloon,11,11,0,5,0,9,1,13,53,0,17,18,1,FWD,4,3,5,0.118,1529,1483,1849,4938
10267,2,2,2,0,13,3,20,0,0,DODGE,2014,AVENGER,Sedan/Saloon,11,11,0,5,0,9,1,13,53,0,17,18,1,FWD,4,3,5,0.118,1529,1483,1849,4938
