YEAR,STATE,ST_CASE,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,A_WRONGWAY,BIA,SPJ_INDIAN,INDIAN_RES,CENSUS_2020_TRACT_FIPS,TRACT
2020,1,10106,1,1,4,2,1,1,2,1,2,3,1,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,01101005503,1
2020,1,10107,1,1,4,1,1,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,1,2,0,0,0,01021060702,1
2020,1,10108,1,1,4,2,1,4,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01097002700,1
2020,1,10109,2,1,4,2,1,1,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,01021060200,1
2020,1,10110,1,1,4,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01097005300,1
2020,1,10111,1,1,4,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01073010605,1
2020,1,10112,1,1,4,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01073011402,1
2020,1,10113,1,1,4,1,2,1,2,3,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01079979300,1
2020,1,10114,1,1,4,2,2,1,2,3,2,5,1,2,2,13,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01073013100,1
2020,1,10115,1,1,4,2,2,1,2,3,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01073002402,1
2020,1,10116,1,1,4,1,2,1,2,3,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01073011301,1
2020,1,10117,1,1,4,1,2,1,2,5,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01025957902,1
2020,1,10118,1,1,4,2,2,1,2,4,2,3,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01073012003,1
2020,1,10119,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01041963600,1
2020,1,10120,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01089002000,1
2020,1,10121,1,1,4,1,2,1,2,4,2,3,1,2,2,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01071950102,1
2020,1,10122,1,1,4,2,2,1,1,6,1,7,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01101005606,1
2020,1,10123,1,1,4,2,2,1,2,3,2,1,2,1,1,13,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01073011901,1
2020,1,10124,1,1,4,1,2,1,2,3,2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01121010102,1
2020,1,10125,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01121011100,1
2020,1,10126,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01133965502,1
2020,1,10127,2,1,4,1,2,1,2,4,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01095030302,1
2020,1,10128,2,1,4,2,2,1,2,5,2,4,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01081040202,1
2020,1,10129,1,1,4,1,2,1,1,3,1,4,2,1,2,13,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01079979400,1
2020,1,10130,1,1,4,2,2,1,2,4,2,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01113030903,1
2020,1,10131,1,1,4,1,2,1,2,4,2,1,2,1,2,13,2,2,2,1,1,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,2,0,0,0,01029959500,1
2020,1,10132,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01051030200,1
2020,1,10133,1,1,4,2,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01073001100,1
