st_case,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour
10733,1,1,43,0,4,4
10734,1,2,12,6,2,2
10735,1,2,12,2,11,11
10736,1,6,12,2,13,14
10737,1,3,12,6,8,8
10738,1,1,1,0,3,3
10739,1,1,32,0,12,12
10740,1,2,12,2,12,12
10741,1,3,12,6,13,13
10742,1,1,24,0,11,
10743,1,1,8,0,6,6
10744,1,1,43,0,12,12
10745,1,2,8,0,18,18
10746,1,1,53,0,19,20
10747,3,5,12,2,22,23
10748,1,1,42,0,1,1
10749,1,3,12,6,18,18
10750,1,2,12,6,21,21
10751,1,3,12,2,15,16
10752,1,1,33,0,22,22
10753,1,3,12,6,20,20
10754,1,4,12,6,13,13
10755,1,1,33,0,6,7
10756,1,2,12,1,20,20
10757,1,1,38,0,13,13
10758,1,4,42,0,3,3
10759,1,2,8,0,18,19
10760,1,2,12,6,16,16
10761,1,3,8,0,18,18
10762,1,1,8,0,14,14
10763,1,2,12,2,23,23
10764,1,1,34,0,16,17
10765,1,1,34,0,13,13
10766,1,7,59,0,19,
10767,3,4,12,2,17,17
10768,1,1,42,0,12,12
10769,1,2,12,2,15,16
10770,1,1,43,0,5,5
10771,1,2,93,0,23,23
10772,1,2,12,2,6,6
10773,1,1,42,0,17,18
10774,1,1,53,0,10,10
10775,1,1,42,0,14,14
10776,1,2,59,0,1,2
10778,1,2,42,0,1,2
10779,1,1,34,0,21,22
10780,1,1,59,0,8,9
10781,1,1,34,0,17,18
10782,1,2,12,6,16,16
10783,1,5,12,2,21,21
10784,1,1,8,0,0,0
10785,1,2,12,1,20,20
10786,1,1,59,0,10,10
10787,1,3,45,0,12,12
10788,2,6,12,2,10,10
10789,1,2,1,0,21,22
10790,1,1,34,0,14,14
10791,1,2,32,0,15,15
10792,1,1,3,0,5,5
10793,1,2,8,0,21,21
10794,1,1,30,0,0,0
10795,1,3,8,0,18,18
10796,1,1,32,0,7,7
10797,1,3,12,6,11,11
10798,2,3,18,0,5,5
10799,2,2,12,2,7,8
10800,1,2,12,2,8,8
10801,1,3,12,2,13,13
10802,1,1,38,0,12,12
10803,1,4,12,2,6,6
10804,1,2,30,0,17,17
10805,1,1,34,0,15,16
10806,1,1,42,0,2,3
10807,1,1,8,0,16,16
10808,1,1,42,0,8,8
10809,1,1,21,0,7,7
10810,1,1,9,0,17,17
10811,1,1,30,0,17,17
10812,1,2,32,0,18,18
10813,1,1,32,0,19,20
10814,1,2,59,0,11,11
10815,1,2,12,1,22,22
10816,1,5,12,6,16,16
10817,1,1,59,0,16,16
10818,1,2,12,6,14,16
10819,1,4,8,0,19,19
10820,1,1,40,0,21,22
10821,1,2,12,2,10,10
10822,1,2,12,2,12,12
10823,1,1,42,0,17,18
10824,1,2,30,0,22,22
10825,2,5,12,6,15,15
10826,1,1,42,0,17,
10827,1,2,12,2,22,23
10828,1,2,1,0,17,17
10829,2,3,12,6,2,3
10830,1,5,12,6,21,21
10831,1,1,42,0,19,20
10832,1,5,30,0,18,18
10833,1,3,12,2,18,18
10834,1,3,38,0,13,13
10835,1,1,59,0,23,0
10836,1,5,12,7,17,17
10837,1,1,42,0,19,19
10838,3,6,12,6,8,8
10839,1,1,8,0,17,17
10840,1,5,12,1,21,22
10841,1,4,12,6,11,
10842,2,3,42,0,10,10
10843,1,2,12,2,16,16
10844,1,1,32,0,5,6
10845,1,1,42,0,15,18
10846,1,1,34,0,23,23
10847,1,2,1,0,0,0
10848,1,2,12,1,9,9
10849,1,1,42,0,8,8
10850,1,5,12,1,15,15
10851,1,1,34,0,18,19
10852,1,2,12,6,15,15
10853,1,2,12,6,7,7
10854,1,1,19,0,11,11
10855,1,1,11,0,4,5
10856,1,3,8,0,4,4
10857,1,1,32,0,12,12
10858,1,1,8,0,20,20
10859,1,0,8,0,11,12
10860,1,1,53,0,18,18
20001,1,2,12,6,18,18
20002,1,1,8,0,17,17
20003,2,3,12,1,14,14
20004,1,4,12,6,10,10
20005,1,5,12,2,15,18
20006,1,1,8,0,2,2
20007,1,1,8,0,0,0
20008,2,4,12,2,12,12
20009,2,5,12,6,10,10
20010,1,1,8,0,4,4
20011,1,3,12,6,19,19
20012,1,1,30,0,3,3
20013,1,3,1,0,,
20014,1,1,42,0,19,20
20015,1,7,12,2,21,21
20016,1,1,30,0,8,8
20017,1,3,12,6,16,16
20018,1,1,1,0,12,
20019,2,9,12,99,14,15
20020,1,1,1,0,22,22
20021,2,6,12,2,17,17
20022,1,1,24,0,16,17
20023,1,1,9,0,13,
20024,4,4,1,0,,
20025,2,3,12,2,19,19
20026,1,1,9,0,5,8
20027,1,4,12,1,8,8
20028,1,1,8,0,6,6
20029,1,5,12,2,16,16
20030,1,3,12,2,17,17
20031,1,1,1,0,,9
20032,1,1,1,0,6,6
20033,1,2,30,0,3,4
20034,2,6,12,2,8,
20035,2,1,8,0,2,2
20036,1,3,12,6,14,14
20037,1,5,1,0,18,19
20038,1,1,8,0,0,1
20039,1,3,1,0,23,
20040,1,1,8,0,20,20
20041,1,2,12,11,16,16
20043,1,1,1,0,,
20044,1,1,8,0,21,21
20045,1,2,12,2,8,8
20046,1,3,12,6,13,13
20048,1,2,8,0,3,3
20049,1,4,12,6,9,
20050,1,3,12,2,11,11
20051,1,5,12,2,17,17
20052,1,1,8,0,21,21
20053,1,1,8,0,13,13
20054,1,1,25,0,22,23
20055,1,1,14,0,0,0
40001,1,6,33,0,3,3
40002,1,1,8,0,6,6
40003,3,5,59,0,13,13
40004,1,2,12,2,2,2
40005,1,7,8,0,4,4
40006,1,3,12,6,11,
40007,2,5,44,0,17,
40008,1,1,35,0,23,0
40009,1,8,12,8,13,13
40010,1,1,8,0,20,20
40011,2,4,12,2,8,
40012,1,3,12,1,2,2
40013,1,2,12,1,10,10
40014,2,4,12,6,14,14
40015,1,1,8,0,18,18
40016,1,1,14,0,21,21
40017,1,2,12,6,10,10
40018,1,3,12,1,18,18
40019,1,2,14,0,3,4
40020,1,2,38,0,9,11
40021,1,3,12,7,21,
